Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
65.715,3.70584056,1.20603578,88.307268,0.60918568,0.96162557,-0.85094259,-13.70022504,4.03982686,-13.17308321,-10.50264594,19.90469399,11.01206259,0,24.08981723,-6.36016145,-5.35033897,-11.87031847,5.61501865,0.21369495,0,0,0,0
65.72,3.67898528,1.23075705,88.2022653,0.60859422,0.96090363,-0.85108356,-13.93083552,3.83794235,-13.03779341,-10.93357408,19.91854079,11.22299968,0,23.99715069,-6.32280757,-5.45697493,-11.29232619,5.6206312,0.57094255,0,0,0,0
65.725,3.657794,1.20580142,88.09571723,0.60796392,0.96015863,-0.85121103,-14.0900091,3.64459083,-12.80112205,-11.38830931,19.88363493,11.34440964,0,23.96206868,-6.27965724,-5.49700066,-10.83258972,5.55928767,0.73843022,0,0,0,0
65.73,3.59646393,1.26808227,88.01732527,0.60725045,0.95950578,-0.85148061,-14.33535472,3.39075126,-12.71255877,-11.87479792,19.85838348,11.62168788,0,23.84148272,-6.19670832,-5.69073243,-10.5136377,5.57625195,1.10653498,0,0,0,0
65.735,3.56711917,1.24474871,87.91798367,0.60653426,0.95879214,-0.85169208,-14.45842599,3.17599123,-12.45462386,-12.40082179,19.76946511,11.73248074,0,23.81768292,-6.13752557,-5.75361584,-10.31457614,5.52589443,1.16207528,0,0,0,0
65.74,3.50898519,1.24844995,87.83260096,0.6057491,0.95811959,-0.85197912,-14.59451753,2.92537981,-12.21439021,-12.96141745,19.67154629,11.843914,0,23.7642099,-6.04108619,-5.83429843,-10.23018133,5.4740222,1.19093219,0,0,0,0
65.745,3.43927037,1.26174532,87.75257742,0.60491979,0.95747705,-0.85231956,-14.72136007,2.65644769,-11.97865197,-13.55886578,19.540728,11.96841344,0,23.70180093,-5.92857851,-5.9174039,-10.25902647,5.40288623,1.16726588,0,0,0,0
65.75,3.336664,1.29142029,87.68949539,0.60398861,0.95685464,-0.85271936,-14.81535,2.31144537,-11.96868148,-14.26105092,19.40634197,12.39305861,0,23.61481434,-5.76051026,-5.908878,-10.37683857,5.28595743,0.9484204,0,0,0,0
65.755,3.25432428,1.3030824,87.60776387,0.60310081,0.9562633,-0.85314875,-14.90084618,2.02628787,-11.66395472,-14.92406642,19.18252381,12.44599871,0,23.55662488,-5.63206989,-5.98118423,-10.61455771,5.16172441,0.8054425,0,0,0,0
65.76,3.14935861,1.28931923,87.55255974,0.60211413,0.95564382,-0.8535908,-14.90310283,1.70167708,-11.46969457,-15.69463299,18.96868305,12.58029004,0,23.50544414,-5.43695894,-5.78160902,-10.88907847,4.93025677,0.23334091,0,0,0,0
65.765,3.03758081,1.30909159,87.48193068,0.60113303,0.95511043,-0.85411002,-14.94053019,1.36946608,-11.22590233,-16.45793889,18.66830764,12.70134957,0,23.42265032,-5.24454897,-5.65213963,-11.26173197,4.67381271,-0.32873532,0,0,0,0
65.77,2.9146818,1.3117194,87.41654971,0.60012209,0.95458889,-0.85464825,-14.91952333,1.02625549,-10.97132467,-17.28799292,18.32741851,12.77239654,0,23.35616666,-5.03653228,-5.50080892,-11.69444784,4.37023226,-0.90592548,0,0,0,0
65.775,2.77780775,1.31707743,87.35428401,0.59908109,0.95410735,-0.8552295,-14.87030684,0.66747602,-10.71511326,-18.16855084,17.93162551,12.82431035,0,23.28130919,-4.80628808,-5.315867,-12.17357353,4.01627729,-1.54463173,0,0,0,0
65.78,2.62001843,1.34559579,87.29163851,0.59801107,0.95369422,-0.85585323,-14.81089352,0.2823754,-10.46662531,-19.10543452,17.4812924,12.86476234,0,23.16951204,-4.54524471,-5.09046824,-12.67831428,3.62804982,-2.23956857,0,0,0,0
65.785,2.45900956,1.32295337,87.23052859,0.59693552,0.95325833,-0.85646677,-14.64817064,-0.10129783,-10.20548246,-20.11709075,16.98385282,12.85415205,0,23.13577168,-4.28895128,-4.9057211,-13.25792471,3.22886912,-2.85897717,0,0,0,0
65.79,2.28027259,1.33867658,87.17737204,0.59583052,0.95294316,-0.85713147,-14.49876222,-0.50525775,-9.97251126,-21.16576736,16.37938592,12.84191263,0,23.03541298,-3.99671208,-4.65076057,-13.81603236,2.76911201,-3.57074703,0,0,0,0
65.795,2.08424113,1.34484873,87.12344052,0.59470794,0.95265782,-0.85780307,-14.29038843,-0.92851948,-9.74668331,-22.28890529,15.72411672,12.80098501,0,22.95296797,-3.68784053,-4.41163059,-14.40936265,2.34645362,-4.22721354,0,0,0,0
65.8,1.86303187,1.38136586,87.07129591,0.5935639,0.9524613,-0.8585052,-14.0723677,-1.38087055,-9.53942977,-23.47336703,15.00221302,12.73611584,0,22.83102005,-3.3459336,-4.16400626,-15.00661128,1.95535963,-4.88788341,0,0,0,0
65.805,1.64523281,1.37227264,87.01118478,0.59244388,0.95225849,-0.85916788,-13.74307803,-1.82489259,-9.31526199,-24.74639205,14.22095858,12.61190157,0,22.78302388,-3.03083799,-4.02711443,-15.66025411,1.65545523,-5.33784489,0,0,0,0
65.81,1.4157891,1.37660169,86.98929087,0.59126883,0.95215785,-0.8598604,-13.39866953,-2.27862101,-9.17648485,-26.05500707,13.29658359,12.49005519,0,22.68863431,-2.66500771,-3.71854239,-16.25469776,1.35003404,-5.9446511,0,0,0,0
65.815,1.16867821,1.39784841,86.95367457,0.59010764,0.95211839,-0.86055102,-13.01877156,-2.75343412,-9.03054951,-27.43619413,12.33080126,12.31492904,0,22.58338866,-2.29812011,-3.51944375,-16.87733108,1.16862096,-6.39796137,0,0,0,0
65.82,0.91155439,1.43011986,86.91919721,0.58895339,0.9521347,-0.86123649,-12.60457933,-3.23750773,-8.89959561,-28.87465485,11.30566507,12.08179716,0,22.47275153,-1.92877529,-3.38427202,-17.52058977,1.08824818,-6.77195416,0,0,0,0
65.825,0.65550216,1.4539925,86.90714877,0.58778782,0.95221038,-0.8619126,-12.1412457,-3.71605235,-8.81527265,-30.35799251,10.18170437,11.8107741,0,22.35282871,-1.54871452,-3.20336368,-18.13376858,1.08482619,-7.12072212,0,0,0,0
65.83,0.39367186,1.49235539,86.90308731,0.58663273,0.95235344,-0.86258564,-11.6542724,-4.19803856,-8.75398684,-31.8827061,8.99678349,11.47294895,0,22.20702571,-1.16685284,-3.06672672,-18.73552951,1.17824413,-7.38866215,0,0,0,0
65.835,0.13143472,1.53131925,86.90539336,0.58548326,0.9525437,-0.86323757,-11.12689257,-4.67810917,-8.71119557,-33.44690741,7.76245095,11.06981264,0,22.04854888,-0.78682963,-2.95658302,-19.321881,1.36614615,-7.59268197,0,0,0,0
65.84,-0.12870717,1.57042898,86.91533603,0.58434841,0.9527792,-0.86386633,-10.56195784,-5.15167713,-8.6846101,-35.04322247,6.48745572,10.59186831,0,21.87159112,-0.41135589,-2.86932226,-19.88028353,1.63965779,-7.73739544,0,0,0,0
65.845,-0.38686442,1.60911463,86.92834432,0.58323586,0.95305571,-0.86446518,-9.95910219,-5.6184708,-8.66577406,-36.66678788,5.19124956,10.03248584,0,21.6742843,-0.04299816,-2.81352417,-20.40551468,1.98654265,-7.82463259,0,0,0,0
65.85,-0.65772829,1.70238716,86.96742892,0.58212224,0.95344985,-0.86509551,-9.40378474,-6.09950719,-8.70380439,-38.28006214,3.85511238,9.41959128,0,21.37964445,0.34328604,-2.77432012,-20.86509731,2.38636474,-7.82399212,0,0,0,0
65.855,-0.88266665,1.66434277,86.95321607,0.58110178,0.95369966,-0.86553559,-8.621503,-6.50799983,-8.61869188,-39.97102332,2.59681068,8.65391581,0,21.22862883,0.65409782,-2.78283538,-21.3294631,2.86316188,-7.84743649,0,0,0,0
65.86,-1.1171747,1.68177158,86.96466871,0.58009439,0.95406533,-0.86600439,-7.89524483,-6.91965976,-8.57665598,-41.63208318,1.32767513,7.82179177,0,20.97632837,0.97785981,-2.80706187,-21.72100063,3.36966609,-7.77909899,0,0,0,0
65.865,-1.32625743,1.67955863,86.98498982,0.57913637,0.95444739,-0.86641496,-7.12294214,-7.28819132,-8.5374097,-43.28494881,0.08580562,6.90390906,0,20.72443757,1.26601575,-2.85667886,-22.07476588,3.9111766,-7.63207004,0,0,0,0
65.87,-1.55483172,1.69544983,86.97237903,0.57821067,0.95485906,-0.86677389,-6.3285941,-7.67726495,-8.45924092,-44.95090272,-1.04946198,5.94237257,0,20.41571096,1.56806914,-2.94307054,-22.36011552,4.46424087,-7.52552527,0,0,0,0
65.875,-1.7681311,1.6932213,86.95737624,0.57734664,0.95528973,-0.86707024,-5.48936541,-8.03175915,-8.36850947,-46.60078779,-2.10849341,4.90895943,0,20.09459969,1.84792487,-3.0372133,-22.58463788,5.02354709,-7.38188532,0,0,0,0
65.88,-1.95929512,1.67112646,86.95428371,0.57652713,0.95572198,-0.86730442,-4.61165569,-8.34644877,-8.28975532,-48.22587006,-3.08017797,3.82174283,0,19.77946679,2.09789352,-3.14908293,-22.77693266,5.58515679,-7.18391331,0,0,0,0
65.885,-2.16271593,1.67076085,86.91434848,0.57576503,0.95619085,-0.86748786,-3.7237775,-8.66243806,-8.15514199,-49.8390267,-3.90266861,2.71051341,0,19.40196269,2.3578456,-3.27793284,-22.89484904,6.13840079,-7.05104278,0,0,0,0
65.89,-2.34747422,1.64757416,86.87958041,0.57505409,0.95666112,-0.86760909,-2.79601818,-8.93646085,-8.01740265,-51.41734225,-4.60082758,1.56274738,0,19.0266237,2.59548739,-3.40391785,-22.96653534,6.67919755,-6.88849536,0,0,0,0
65.895,-2.51979224,1.61796581,86.83891624,0.57440543,0.95714987,-0.86767514,-1.84583598,-9.17665316,-7.86542609,-52.95734954,-5.14901914,0.398973,0,18.63450676,2.81620724,-3.53481081,-22.98894881,7.20187913,-6.71939933,0,0,0,0
65.9,-2.68022448,1.57221399,86.80983682,0.57380195,0.95763692,-0.86769027,-0.87109449,-9.38326717,-7.72300457,-54.45262484,-5.53517982,-0.77277759,0,18.24126869,3.02317308,-3.66243557,-22.97129628,7.70712527,-6.51661033,0,0,0,0
65.905,-2.83045844,1.54340251,86.76338074,0.57325601,0.95816088,-0.86766616,0.0975394,-9.56058947,-7.55478817,-55.89780903,-5.76238631,-1.92422372,0,17.80676096,3.22068907,-3.78814994,-22.90753905,8.18879127,-6.36818781,0,0,0,0
65.91,-2.96906155,1.5235915,86.70932571,0.57275925,0.95871131,-0.86760071,1.06407874,-9.70684784,-7.3740755,-57.28676692,-5.84471499,-3.04428088,0,17.34313428,3.40880797,-3.9020032,-22.80437403,8.65264166,-6.25608551,0,0,0,0
65.915,-3.08800395,1.48917495,86.66934633,0.57230451,0.95926852,-0.8674904,2.04298155,-9.81237755,-7.21287491,-58.60957794,-5.76576598,-4.13665877,0,16.88012304,3.57728831,-4.00215354,-22.6665595,9.09021295,-6.1342016,0,0,0,0
65.92,-3.19070555,1.45382852,86.63757871,0.57188585,0.95983652,-0.86733577,3.02133202,-9.88065787,-7.05690138,-59.8653673,-5.54356779,-5.17873058,0,16.40753073,3.73143678,-4.08409456,-22.50348655,9.5034372,-6.01085621,0,0,0,0
65.925,-3.27957979,1.42059027,86.61077403,0.57149606,0.96042527,-0.86715278,3.99287318,-9.91964548,-6.90948149,-61.0476185,-5.19486039,-6.15565903,0,15.91673751,3.87392036,-4.15344453,-22.30699728,9.89286345,-5.90497045,0,0,0,0
65.93,-3.34928506,1.38880867,86.59354277,0.57112918,0.96102974,-0.86691751,4.95769645,-9.92581762,-6.77890752,-62.15337952,-4.73372523,-7.05452071,0,15.41842574,3.99943715,-4.20328106,-22.09290037,10.25753232,-5.8100686,0,0,0,0
65.935,-3.40101748,1.35244098,86.58876416,0.5707795,0.96164469,-0.86665145,5.91770465,-9.90199742,-6.66834018,-63.17813317,-4.17691273,-7.86825139,0,14.9155375,4.10844998,-4.23611562,-21.85716344,10.59832355,-5.71827064,0,0,0,0
65.94,-3.45750458,1.34811259,86.58650291,0.5704267,0.96230586,-0.86637273,6.83572766,-9.88533666,-6.57254911,-64.12216857,-3.54294319,-8.56549084,0,14.35956098,4.22949549,-4.25632484,-21.58076173,10.90616001,-5.64759286,0,0,0,0
65.945,-3.47263149,1.30389387,86.60032087,0.57010395,0.96293783,-0.86602888,7.78498517,-9.80635873,-6.49831987,-64.97959391,-2.8512111,-9.1881703,0,13.85249327,4.30416979,-4.25403417,-21.3121857,11.20533967,-5.57858199,0,0,0,0
65.95,-3.46718964,1.25481978,86.6312305,0.56978444,0.96357481,-0.86565039,8.72344723,-9.70140049,-6.4534264,-65.74757581,-2.10717503,-9.70178112,0,13.34789776,4.35818998,-4.23614798,-21.03461774,11.48912863,-5.50523303,0,0,0,0
65.955,-3.4498492,1.20702988,86.67147703,0.56947782,0.96422028,-0.86524353,9.64699437,-9.58069506,-6.42845666,-66.42831811,-1.32807956,-10.1099208,0,12.83716512,4.3996957,-4.20798608,-20.74411115,11.75393241,-5.4326738,0,0,0,0
65.96,-3.41805048,1.15190488,86.72344338,0.56917358,0.96486148,-0.86480178,10.56413074,-9.4408318,-6.42275812,-67.0211798,-0.52463392,-10.41529655,0,12.3317069,4.42551329,-4.1693949,-20.44390256,11.99987503,-5.36039591,0,0,0,0
65.965,-3.37298006,1.09116878,86.78844303,0.56886763,0.96549741,-0.86433326,11.46984747,-9.28502638,-6.43851342,-67.5242106,0.29391158,-10.62271488,0,11.82951444,4.43706915,-4.12175058,-20.13422003,12.2261943,-5.28662176,0,0,0,0
65.97,-3.32160376,1.03303028,86.86037417,0.56857168,0.96612905,-0.86384107,12.35744935,-9.11886333,-6.46466934,-67.93968013,1.11468984,-10.74288181,0,11.32060469,4.440875,-4.06994207,-19.81304718,12.44087767,-5.21228215,0,0,0,0
65.975,-3.26386516,0.97065408,86.9410712,0.56827967,0.96674676,-0.86332233,13.23319734,-8.94388728,-6.50346857,-68.26806001,1.93523356,-10.78001239,0,10.81435679,4.43619511,-4.01467975,-19.48348023,12.63914621,-5.13608536,0,0,0,0
65.98,-3.20140699,0.90719774,87.02771298,0.5679929,0.96734897,-0.86278203,14.09300373,-8.76118709,-6.5500901,-68.50893302,2.74479626,-10.74686883,0,10.30716445,4.42491714,-3.95904362,-19.14577241,12.82649983,-5.05734503,0,0,0,0
65.985,-3.1393781,0.84022669,87.12280318,0.56771319,0.96792892,-0.86222343,14.93862436,-8.57822818,-6.60685328,-68.66445312,3.54128103,-10.65134449,0,9.80158062,4.41117478,-3.90510482,-18.79936143,12.99509306,-4.97540622,0,0,0,0
65.99,-3.07662868,0.77416724,87.22140852,0.56743892,0.96848711,-0.86164396,15.76569343,-8.39185916,-6.66552143,-68.73413074,4.31731731,-10.5086444,0,9.29363034,4.39481889,-3.85368276,-18.44564213,13.15478284,-4.89148605,0,0,0,0
